size,composition,latency
4,dc-none,247.270000
8,dc-none,261.030000
16,dc-none,267.130000
32,dc-none,321.830000
64,dc-none,310.480000
128,dc-none,323.700000
256,dc-none,322.850000
512,dc-none,366.130000
1024,dc-none,407.870000
2048,dc-none,385.800000
4096,dc-none,444.740000
8192,dc-none,457.200000
16384,dc-none,557.330000
32768,dc-none,1582.660000
65536,dc-none,2715.830000
131072,dc-none,5609.040000
262144,dc-none,9391.450000
524288,dc-none,17993.500000
1048576,dc-none,23920.320000
4,alpha,79.440000
8,alpha,87.650000
16,alpha,88.520000
32,alpha,95.370000
64,alpha,91.170000
128,alpha,118.870000
256,alpha,83.430000
512,alpha,149.620000
1024,alpha,81.740000
2048,alpha,114.760000
4096,alpha,100.880000
8192,alpha,139.120000
16384,alpha,129.940000
32768,alpha,198.060000
65536,alpha,363.710000
131072,alpha,426.800000
262144,alpha,700.330000
524288,alpha,1285.640000
1048576,alpha,2803.860000
4,beta,256.550000
8,beta,236.670000
16,beta,288.370000
32,beta,348.870000
64,beta,359.100000
128,beta,344.920000
256,beta,416.640000
512,beta,310.010000
1024,beta,383.720000
2048,beta,364.180000
4096,beta,415.170000
8192,beta,409.980000
16384,beta,513.310000
32768,beta,1486.890000
65536,beta,2760.900000
131072,beta,5509.590000
262144,beta,9229.470000
524288,beta,17233.690000
1048576,beta,23719.350000
