size,composition,latency
4,dc-none,10.240000
8,dc-none,9.850000
16,dc-none,18.330000
32,dc-none,17.670000
64,dc-none,16.820000
128,dc-none,17.940000
256,dc-none,18.120000
512,dc-none,17.100000
1024,dc-none,18.450000
2048,dc-none,19.920000
4096,dc-none,21.630000
8192,dc-none,29.360000
16384,dc-none,38.070000
32768,dc-none,69.280000
65536,dc-none,133.110000
131072,dc-none,213.320000
262144,dc-none,400.960000
524288,dc-none,853.340000
1048576,dc-none,1553.130000
4,alpha,12.330000
8,alpha,11.990000
16,alpha,12.610000
32,alpha,12.650000
64,alpha,12.530000
128,alpha,14.480000
256,alpha,12.650000
512,alpha,13.140000
1024,alpha,14.600000
2048,alpha,15.400000
4096,alpha,20.650000
8192,alpha,28.940000
16384,alpha,50.460000
32768,alpha,89.130000
65536,alpha,166.200000
131072,alpha,313.020000
262144,alpha,700.580000
524288,alpha,1295.950000
1048576,alpha,2578.220000
4,beta,11.740000
8,beta,10.320000
16,beta,16.770000
32,beta,16.870000
64,beta,18.390000
128,beta,19.940000
256,beta,16.970000
512,beta,16.920000
1024,beta,20.350000
2048,beta,21.480000
4096,beta,21.640000
8192,beta,27.970000
16384,beta,44.520000
32768,beta,68.100000
65536,beta,123.510000
131072,beta,156.040000
262144,beta,374.630000
524288,beta,649.480000
1048576,beta,1085.990000
4,gamma,5.450000
8,gamma,4.750000
16,gamma,4.860000
32,gamma,4.750000
64,gamma,4.780000
128,gamma,5.110000
256,gamma,5.450000
512,gamma,5.490000
1024,gamma,6.070000
2048,gamma,7.710000
4096,gamma,9.710000
8192,gamma,15.230000
16384,gamma,29.820000
32768,gamma,59.770000
65536,gamma,125.600000
131072,gamma,239.000000
262144,gamma,481.460000
524288,gamma,990.290000
1048576,gamma,2070.060000
