size,composition,latency
4,ch4-tuning,69.76
8,ch4-tuning,111.93
16,ch4-tuning,86.88
32,ch4-tuning,71.92
64,ch4-tuning,82.8
128,ch4-tuning,87.08
256,ch4-tuning,81.06
512,ch4-tuning,86.93
1024,ch4-tuning,95.56
2048,ch4-tuning,77.95
4096,ch4-tuning,83.12
8192,ch4-tuning,117.37
16384,ch4-tuning,121.59
32768,ch4-tuning,146.5
65536,ch4-tuning,129.41
131072,ch4-tuning,217.85
262144,ch4-tuning,171.3
524288,ch4-tuning,242.48
1048576,ch4-tuning,390.1
4,mpi-alpha,99.71
8,mpi-alpha,99.98
16,mpi-alpha,98.88
32,mpi-alpha,115.59
64,mpi-alpha,96.21
128,mpi-alpha,96.09
256,mpi-alpha,99.56
512,mpi-alpha,127.52
1024,mpi-alpha,84.83
2048,mpi-alpha,91.54
4096,mpi-alpha,117.58
8192,mpi-alpha,124.56
16384,mpi-alpha,152.94
32768,mpi-alpha,164.3
65536,mpi-alpha,1340.13
131072,mpi-alpha,2400.55
262144,mpi-alpha,4030.61
524288,mpi-alpha,7916.5
1048576,mpi-alpha,14637.02
4,mpi-beta,263.85
8,mpi-beta,234.98
16,mpi-beta,277.44
32,mpi-beta,383.66
64,mpi-beta,396.17
128,mpi-beta,348.44
256,mpi-beta,326.27
512,mpi-beta,371.83
1024,mpi-beta,389.46
2048,mpi-beta,365.98
4096,mpi-beta,355.9
8192,mpi-beta,355.73
16384,mpi-beta,353.7
32768,mpi-beta,418.83
65536,mpi-beta,523.42
131072,mpi-beta,720.07
262144,mpi-beta,766.81
524288,mpi-beta,1438.52
1048576,mpi-beta,1477.55
4,mpi-dc-none,251.77
8,mpi-dc-none,268.16
16,mpi-dc-none,300.3
32,mpi-dc-none,412.36
64,mpi-dc-none,412.72
128,mpi-dc-none,362.29
256,mpi-dc-none,376.06
512,mpi-dc-none,404.47
1024,mpi-dc-none,350.52
2048,mpi-dc-none,385.63
4096,mpi-dc-none,405.07
8192,mpi-dc-none,361.1
16384,mpi-dc-none,415.93
32768,mpi-dc-none,467.22
65536,mpi-dc-none,593.22
131072,mpi-dc-none,654.41
262144,mpi-dc-none,806.06
524288,mpi-dc-none,1309.25
1048576,mpi-dc-none,1689.41
4,rccl-alpha,75.39
8,rccl-alpha,129.17
16,rccl-alpha,78.7
32,rccl-alpha,79.22
64,rccl-alpha,80.31
128,rccl-alpha,92.52
256,rccl-alpha,77.31
512,rccl-alpha,107.38
1024,rccl-alpha,73.66
2048,rccl-alpha,95.76
4096,rccl-alpha,82.9
8192,rccl-alpha,138.24
16384,rccl-alpha,107.71
32768,rccl-alpha,145.51
65536,rccl-alpha,936.5
131072,rccl-alpha,1793.85
524288,rccl-alpha,7353.45
1048576,rccl-alpha,14792.61
8,rccl-beta,62.05
16,rccl-beta,47.46
32,rccl-beta,46.43
64,rccl-beta,79.53
128,rccl-beta,61.65
256,rccl-beta,45.88
512,rccl-beta,44.35
1024,rccl-beta,45.84
2048,rccl-beta,70.84
4096,rccl-beta,88.17
8192,rccl-beta,87.29
16384,rccl-beta,98.15
32768,rccl-beta,105.26
65536,rccl-beta,109.67
131072,rccl-beta,137.56
262144,rccl-beta,171.89
524288,rccl-beta,367.83
1048576,rccl-beta,391.86
4,rccl-dc-none,44.67
8,rccl-dc-none,70.3
16,rccl-dc-none,61.29
32,rccl-dc-none,42.51
64,rccl-dc-none,71.76
128,rccl-dc-none,42.85
256,rccl-dc-none,44.06
512,rccl-dc-none,45.81
1024,rccl-dc-none,57.67
2048,rccl-dc-none,50.44
4096,rccl-dc-none,71.16
8192,rccl-dc-none,88.49
16384,rccl-dc-none,99.53
32768,rccl-dc-none,106.82
65536,rccl-dc-none,109.81
131072,rccl-dc-none,138.18
262144,rccl-dc-none,173.31
524288,rccl-dc-none,242.02
1048576,rccl-dc-none,392.17
