size,composition,latency
4,dc-none,40.35
8,dc-none,70.05
16,dc-none,57.57
32,dc-none,53.33
64,dc-none,50.23
128,dc-none,71.05
256,dc-none,78.7
512,dc-none,46.36
1024,dc-none,59.73
2048,dc-none,58.23
4096,dc-none,79.65
8192,dc-none,63.96
16384,dc-none,76.43
32768,dc-none,86.97
65536,dc-none,106.34
131072,dc-none,129.67
262144,dc-none,296.34
524288,dc-none,255.6
1048576,dc-none,400.4
4,alpha,178.77
8,alpha,188.66
16,alpha,187.18
64,alpha,166.53
128,alpha,168.66
256,alpha,181.03
512,alpha,172.26
1024,alpha,187.59
2048,alpha,183.6
4096,alpha,163.29
8192,alpha,204.87
16384,alpha,310.04
32768,alpha,524.65
65536,alpha,936.15
262144,alpha,3477.53
524288,alpha,6872.85
1048576,alpha,13550.7
8,beta,50.95
16,beta,69.76
32,beta,38.64
64,beta,55.34
128,beta,39.46
256,beta,52.19
512,beta,53.14
1024,beta,40.62
2048,beta,52.71
4096,beta,60.34
8192,beta,70.67
16384,beta,203.88
32768,beta,84.71
65536,beta,103.69
131072,beta,256.87
262144,beta,168.61
524288,beta,251.89
1048576,beta,393.23
32,alpha,51.28
131072,alpha,587.76
4,beta,41.39
