size,composition,latency
4,dc-none,30.120000
8,dc-none,44.730000
16,dc-none,32.560000
32,dc-none,67.900000
64,dc-none,44.210000
128,dc-none,46.870000
256,dc-none,52.420000
512,dc-none,35.190000
1024,dc-none,34.600000
2048,dc-none,49.690000
4096,dc-none,45.760000
8192,dc-none,49.520000
16384,dc-none,38.490000
32768,dc-none,38.650000
65536,dc-none,39.000000
131072,dc-none,46.310000
262144,dc-none,47.320000
524288,dc-none,177.150000
1048576,dc-none,56.700000
4,alpha,127.860000
8,alpha,134.530000
16,alpha,128.500000
32,alpha,152.020000
64,alpha,161.990000
128,alpha,149.240000
256,alpha,127.670000
512,alpha,120.180000
1024,alpha,131.960000
2048,alpha,129.450000
4096,alpha,121.300000
8192,alpha,142.620000
16384,alpha,241.990000
32768,alpha,558.770000
65536,alpha,830.670000
131072,alpha,1760.460000
262144,alpha,3495.230000
524288,alpha,6912.390000
1048576,alpha,13413.180000
4,beta,49.920000
8,beta,50.340000
16,beta,31.620000
32,beta,51.870000
64,beta,58.520000
128,beta,31.990000
256,beta,58.130000
512,beta,58.430000
1024,beta,33.290000
2048,beta,53.450000
4096,beta,48.330000
8192,beta,38.250000
16384,beta,123.170000
32768,beta,37.330000
65536,beta,124.490000
131072,beta,46.630000
262144,beta,48.070000
524288,beta,50.900000
1048576,beta,57.610000
4,gamma,41.430000
8,gamma,53.120000
16,gamma,47.480000
32,gamma,72.010000
64,gamma,47.950000
128,gamma,59.580000
256,gamma,44.820000
512,gamma,41.520000
1024,gamma,42.340000
2048,gamma,57.320000
4096,gamma,62.560000
8192,gamma,55.630000
16384,gamma,115.410000
32768,gamma,356.890000
65536,gamma,468.790000
131072,gamma,861.210000
262144,gamma,1895.650000
524288,gamma,3918.490000
1048576,gamma,7901.830000
