size,composition,latency
4,rccl-dc-none,36.130000
8,rccl-dc-none,35.360000
16,rccl-dc-none,35.370000
32,rccl-dc-none,35.370000
64,rccl-dc-none,35.400000
128,rccl-dc-none,45.730000
256,rccl-dc-none,52.290000
512,rccl-dc-none,37.990000
1024,rccl-dc-none,38.590000
2048,rccl-dc-none,53.930000
4096,rccl-dc-none,69.730000
8192,rccl-dc-none,46.180000
16384,rccl-dc-none,45.650000
32768,rccl-dc-none,44.850000
65536,rccl-dc-none,65.430000
131072,rccl-dc-none,60.110000
262144,rccl-dc-none,64.880000
524288,rccl-dc-none,73.610000
1048576,rccl-dc-none,82.730000
4,rccl-beta,38.960000
8,rccl-beta,37.570000
16,rccl-beta,37.300000
32,rccl-beta,37.340000
64,rccl-beta,37.420000
128,rccl-beta,37.550000
256,rccl-beta,78.020000
512,rccl-beta,44.480000
1024,rccl-beta,58.820000
2048,rccl-beta,78.230000
4096,rccl-beta,48.050000
8192,rccl-beta,52.730000
16384,rccl-beta,52.070000
32768,rccl-beta,51.160000
65536,rccl-beta,156.890000
131072,rccl-beta,63.690000
262144,rccl-beta,68.830000
524288,rccl-beta,74.520000
1048576,rccl-beta,87.340000
4,rccl-gamma,45.320000
8,rccl-gamma,43.950000
16,rccl-gamma,43.990000
32,rccl-gamma,44.070000
64,rccl-gamma,44.210000
128,rccl-gamma,61.350000
256,rccl-gamma,48.250000
512,rccl-gamma,48.600000
1024,rccl-gamma,70.130000
2048,rccl-gamma,48.750000
4096,rccl-gamma,50.220000
8192,rccl-gamma,54.230000
16384,rccl-gamma,97.920000
32768,rccl-gamma,195.020000
65536,rccl-gamma,379.970000
131072,rccl-gamma,758.640000
262144,rccl-gamma,1552.780000
524288,rccl-gamma,3129.010000
1048576,rccl-gamma,6246.640000
4,mpi-dc-none,165.580000
8,mpi-dc-none,198.460000
16,mpi-dc-none,256.980000
32,mpi-dc-none,265.830000
64,mpi-dc-none,297.000000
128,mpi-dc-none,253.230000
256,mpi-dc-none,287.170000
512,mpi-dc-none,231.160000
1024,mpi-dc-none,233.270000
2048,mpi-dc-none,244.150000
4096,mpi-dc-none,254.130000
8192,mpi-dc-none,250.380000
16384,mpi-dc-none,257.720000
32768,mpi-dc-none,255.740000
65536,mpi-dc-none,273.010000
131072,mpi-dc-none,260.680000
262144,mpi-dc-none,304.660000
524288,mpi-dc-none,436.680000
1048576,mpi-dc-none,881.180000
4,mpi-beta,159.990000
8,mpi-beta,180.960000
16,mpi-beta,271.040000
32,mpi-beta,221.040000
64,mpi-beta,257.420000
128,mpi-beta,250.960000
256,mpi-beta,239.110000
512,mpi-beta,211.410000
1024,mpi-beta,227.700000
2048,mpi-beta,226.290000
4096,mpi-beta,257.760000
8192,mpi-beta,222.630000
16384,mpi-beta,223.700000
32768,mpi-beta,226.800000
65536,mpi-beta,233.360000
131072,mpi-beta,245.010000
262144,mpi-beta,286.450000
524288,mpi-beta,399.100000
1048576,mpi-beta,660.000000
4,mpi-gamma,44.680000
8,mpi-gamma,43.730000
16,mpi-gamma,43.920000
32,mpi-gamma,54.900000
64,mpi-gamma,44.750000
128,mpi-gamma,44.450000
256,mpi-gamma,64.990000
512,mpi-gamma,45.090000
1024,mpi-gamma,54.760000
2048,mpi-gamma,46.630000
4096,mpi-gamma,47.120000
8192,mpi-gamma,59.690000
16384,mpi-gamma,98.070000
32768,mpi-gamma,195.360000
65536,mpi-gamma,381.280000
131072,mpi-gamma,891.560000
262144,mpi-gamma,1779.990000
524288,mpi-gamma,3246.130000
1048576,mpi-gamma,6129.240000
4,ch4-tuning,44.080000
8,ch4-tuning,41.230000
16,ch4-tuning,41.100000
32,ch4-tuning,41.530000
64,ch4-tuning,42.500000
128,ch4-tuning,74.910000
256,ch4-tuning,46.240000
512,ch4-tuning,47.540000
1024,ch4-tuning,64.830000
2048,ch4-tuning,48.430000
4096,ch4-tuning,51.450000
8192,ch4-tuning,51.890000
16384,ch4-tuning,52.760000
32768,ch4-tuning,45.630000
65536,ch4-tuning,65.460000
131072,ch4-tuning,59.680000
262144,ch4-tuning,64.510000
524288,ch4-tuning,70.880000
1048576,ch4-tuning,82.240000
