size,composition,latency
4,1comm4streams,62.220000
8,1comm4streams,129.630000
16,1comm4streams,215.540000
32,1comm4streams,225.300000
64,1comm4streams,245.750000
128,1comm4streams,600.400000
256,1comm4streams,200.070000
512,1comm4streams,196.410000
1024,1comm4streams,203.670000
2048,1comm4streams,215.900000
4096,1comm4streams,220.940000
8192,1comm4streams,224.910000
16384,1comm4streams,230.430000
32768,1comm4streams,345.280000
65536,1comm4streams,394.760000
131072,1comm4streams,413.090000
262144,1comm4streams,560.410000
524288,1comm4streams,575.160000
1048576,1comm4streams,686.540000
2097152,1comm4streams,949.720000
4194304,1comm4streams,1564.610000
8388608,1comm4streams,2950.830000
16777216,1comm4streams,5885.620000
33554432,1comm4streams,10943.290000
67108864,1comm4streams,26011.470000
