size,composition,latency
4,dc-none,42.930000
8,dc-none,79.020000
16,dc-none,124.500000
32,dc-none,153.670000
64,dc-none,158.300000
128,dc-none,146.030000
256,dc-none,132.310000
512,dc-none,168.840000
1024,dc-none,133.930000
2048,dc-none,149.620000
4096,dc-none,139.710000
8192,dc-none,159.930000
16384,dc-none,148.140000
32768,dc-none,158.240000
65536,dc-none,240.000000
131072,dc-none,230.330000
262144,dc-none,236.930000
524288,dc-none,254.830000
1048576,dc-none,283.730000
4,beta,43.840000
8,beta,80.370000
16,beta,128.130000
32,beta,149.960000
64,beta,163.450000
128,beta,156.720000
256,beta,125.600000
512,beta,191.220000
1024,beta,124.180000
2048,beta,125.700000
4096,beta,165.820000
8192,beta,132.330000
16384,beta,140.490000
32768,beta,152.930000
65536,beta,235.580000
131072,beta,226.080000
262144,beta,233.580000
524288,beta,248.460000
1048576,beta,306.930000
