size,composition,latency
4,1_subcomm,5.300000
8,1_subcomm,11.520000
16,1_subcomm,22.380000
32,1_subcomm,22.560000
64,1_subcomm,22.880000
128,1_subcomm,25.980000
256,1_subcomm,19.460000
512,1_subcomm,19.490000
1024,1_subcomm,21.660000
2048,1_subcomm,36.660000
4096,1_subcomm,20.230000
8192,1_subcomm,20.270000
16384,1_subcomm,20.450000
32768,1_subcomm,20.680000
65536,1_subcomm,21.670000
131072,1_subcomm,24.160000
262144,1_subcomm,24.130000
524288,1_subcomm,24.030000
1048576,1_subcomm,24.370000
2097152,1_subcomm,24.280000
4194304,1_subcomm,24.730000
8388608,1_subcomm,25.130000
16777216,1_subcomm,60.990000
33554432,1_subcomm,28.590000
67108864,1_subcomm,32.300000
4,2_subcomm,5.070000
8,2_subcomm,13.470000
16,2_subcomm,25.730000
32,2_subcomm,22.140000
64,2_subcomm,22.220000
128,2_subcomm,23.580000
256,2_subcomm,21.850000
512,2_subcomm,27.470000
1024,2_subcomm,23.220000
2048,2_subcomm,24.530000
4096,2_subcomm,21.590000
8192,2_subcomm,21.570000
16384,2_subcomm,21.760000
32768,2_subcomm,22.010000
65536,2_subcomm,22.720000
131072,2_subcomm,25.380000
262144,2_subcomm,25.280000
524288,2_subcomm,25.250000
1048576,2_subcomm,25.540000
2097152,2_subcomm,25.340000
4194304,2_subcomm,25.780000
8388608,2_subcomm,26.210000
16777216,2_subcomm,27.780000
33554432,2_subcomm,29.550000
67108864,2_subcomm,33.320000
4,4_subcomm,6.600000
8,4_subcomm,10.430000
16,4_subcomm,20.260000
32,4_subcomm,20.250000
64,4_subcomm,20.560000
128,4_subcomm,21.350000
256,4_subcomm,19.940000
512,4_subcomm,20.000000
1024,4_subcomm,22.790000
2048,4_subcomm,24.000000
4096,4_subcomm,23.910000
8192,4_subcomm,22.470000
16384,4_subcomm,21.480000
32768,4_subcomm,21.900000
65536,4_subcomm,22.820000
131072,4_subcomm,25.150000
262144,4_subcomm,25.240000
524288,4_subcomm,25.250000
1048576,4_subcomm,25.380000
2097152,4_subcomm,25.470000
4194304,4_subcomm,25.770000
8388608,4_subcomm,26.320000
16777216,4_subcomm,27.640000
33554432,4_subcomm,29.520000
67108864,4_subcomm,33.310000
4,8_subcomm,5.110000
8,8_subcomm,11.420000
16,8_subcomm,22.230000
32,8_subcomm,24.840000
64,8_subcomm,23.060000
128,8_subcomm,24.010000
256,8_subcomm,23.730000
512,8_subcomm,19.080000
1024,8_subcomm,19.210000
2048,8_subcomm,19.370000
4096,8_subcomm,19.630000
8192,8_subcomm,19.760000
16384,8_subcomm,19.570000
32768,8_subcomm,19.990000
65536,8_subcomm,20.650000
131072,8_subcomm,23.270000
262144,8_subcomm,22.980000
524288,8_subcomm,23.670000
1048576,8_subcomm,23.250000
2097152,8_subcomm,23.620000
4194304,8_subcomm,23.800000
8388608,8_subcomm,24.310000
16777216,8_subcomm,25.690000
33554432,8_subcomm,27.470000
67108864,8_subcomm,31.300000
4,16_subcomm,5.120000
8,16_subcomm,11.090000
16,16_subcomm,22.680000
32,16_subcomm,21.560000
64,16_subcomm,22.440000
128,16_subcomm,27.590000
256,16_subcomm,23.610000
512,16_subcomm,23.760000
1024,16_subcomm,23.780000
2048,16_subcomm,23.800000
4096,16_subcomm,23.820000
8192,16_subcomm,23.980000
16384,16_subcomm,58.750000
32768,16_subcomm,23.010000
65536,16_subcomm,23.210000
131072,16_subcomm,25.460000
262144,16_subcomm,25.560000
524288,16_subcomm,25.700000
1048576,16_subcomm,25.810000
2097152,16_subcomm,25.840000
4194304,16_subcomm,26.190000
8388608,16_subcomm,26.640000
16777216,16_subcomm,28.020000
33554432,16_subcomm,29.990000
67108864,16_subcomm,70.040000
4,32_subcomm,6.370000
8,32_subcomm,8.860000
16,32_subcomm,23.570000
32,32_subcomm,21.460000
64,32_subcomm,21.550000
128,32_subcomm,22.360000
256,32_subcomm,20.810000
512,32_subcomm,20.870000
1024,32_subcomm,21.070000
2048,32_subcomm,24.420000
4096,32_subcomm,21.110000
8192,32_subcomm,21.210000
16384,32_subcomm,21.290000
32768,32_subcomm,22.030000
65536,32_subcomm,23.130000
131072,32_subcomm,25.370000
262144,32_subcomm,25.280000
524288,32_subcomm,25.400000
1048576,32_subcomm,25.490000
2097152,32_subcomm,25.450000
4194304,32_subcomm,25.910000
8388608,32_subcomm,26.370000
16777216,32_subcomm,27.750000
33554432,32_subcomm,29.630000
67108864,32_subcomm,33.490000
4,64_subcomm,6.570000
8,64_subcomm,14.510000
16,64_subcomm,25.530000
32,64_subcomm,22.410000
64,64_subcomm,22.570000
128,64_subcomm,22.590000
256,64_subcomm,21.000000
512,64_subcomm,24.080000
1024,64_subcomm,22.730000
2048,64_subcomm,25.080000
4096,64_subcomm,22.720000
8192,64_subcomm,22.990000
16384,64_subcomm,22.830000
32768,64_subcomm,56.750000
65536,64_subcomm,25.950000
131072,64_subcomm,28.160000
262144,64_subcomm,28.240000
524288,64_subcomm,28.240000
1048576,64_subcomm,28.280000
2097152,64_subcomm,28.360000
4194304,64_subcomm,28.760000
8388608,64_subcomm,29.150000
16777216,64_subcomm,30.650000
33554432,64_subcomm,32.300000
67108864,64_subcomm,36.380000
4,128_subcomm,4.410000
8,128_subcomm,10.480000
16,128_subcomm,22.370000
32,128_subcomm,19.990000
64,128_subcomm,20.340000
128,128_subcomm,21.020000
256,128_subcomm,19.730000
512,128_subcomm,19.740000
1024,128_subcomm,19.760000
2048,128_subcomm,19.920000
4096,128_subcomm,19.860000
8192,128_subcomm,23.080000
16384,128_subcomm,19.890000
32768,128_subcomm,20.140000
65536,128_subcomm,21.120000
131072,128_subcomm,23.410000
262144,128_subcomm,23.250000
524288,128_subcomm,23.460000
1048576,128_subcomm,23.500000
2097152,128_subcomm,23.480000
4194304,128_subcomm,23.820000
8388608,128_subcomm,24.440000
16777216,128_subcomm,25.730000
33554432,128_subcomm,27.470000
67108864,128_subcomm,31.220000
