size,composition,latency
4,1comm4chunks,35.530000
8,1comm4chunks,68.330000
16,1comm4chunks,126.850000
32,1comm4chunks,127.040000
64,1comm4chunks,125.420000
128,1comm4chunks,123.140000
256,1comm4chunks,123.050000
512,1comm4chunks,123.060000
1024,1comm4chunks,119.850000
2048,1comm4chunks,126.160000
4096,1comm4chunks,126.390000
8192,1comm4chunks,134.190000
16384,1comm4chunks,118.010000
32768,1comm4chunks,130.070000
65536,1comm4chunks,134.670000
131072,1comm4chunks,147.510000
262144,1comm4chunks,120.950000
524288,1comm4chunks,120.320000
1048576,1comm4chunks,120.180000
2097152,1comm4chunks,120.460000
4194304,1comm4chunks,120.240000
8388608,1comm4chunks,120.300000
16777216,1comm4chunks,120.820000
33554432,1comm4chunks,124.190000
67108864,1comm4chunks,136.030000
