size,composition,latency
4,1comm4chunks,34.740000
8,1comm4chunks,64.970000
16,1comm4chunks,122.850000
32,1comm4chunks,119.670000
64,1comm4chunks,122.270000
128,1comm4chunks,118.240000
256,1comm4chunks,120.840000
512,1comm4chunks,116.120000
1024,1comm4chunks,119.260000
2048,1comm4chunks,114.190000
4096,1comm4chunks,114.860000
8192,1comm4chunks,113.830000
16384,1comm4chunks,110.660000
32768,1comm4chunks,128.300000
65536,1comm4chunks,113.230000
131072,1comm4chunks,114.020000
262144,1comm4chunks,266.270000
524288,1comm4chunks,114.000000
1048576,1comm4chunks,112.830000
2097152,1comm4chunks,113.140000
4194304,1comm4chunks,129.900000
8388608,1comm4chunks,113.190000
16777216,1comm4chunks,113.460000
33554432,1comm4chunks,118.150000
67108864,1comm4chunks,130.370000
