size,composition,latency
4,1comm4streams,51.570000
8,1comm4streams,67.860000
16,1comm4streams,76.370000
32,1comm4streams,62.950000
64,1comm4streams,64.550000
128,1comm4streams,50.380000
256,1comm4streams,62.360000
512,1comm4streams,64.370000
1024,1comm4streams,52.420000
2048,1comm4streams,56.010000
4096,1comm4streams,83.560000
8192,1comm4streams,125.760000
16384,1comm4streams,97.980000
32768,1comm4streams,108.110000
65536,1comm4streams,112.560000
131072,1comm4streams,140.310000
262144,1comm4streams,172.040000
524288,1comm4streams,240.130000
1048576,1comm4streams,394.050000
2097152,1comm4streams,770.950000
4194304,1comm4streams,1260.660000
8388608,1comm4streams,2671.990000
16777216,1comm4streams,6530.990000
33554432,1comm4streams,13073.030000
67108864,1comm4streams,25754.420000
