size,backend,trial,latency
4,mpich,1,61.1100
8,mpich,1,53.1600
16,mpich,1,0.0000
32,mpich,1,56.4100
64,mpich,1,52.7400
128,mpich,1,52.9800
256,mpich,1,53.5500
512,mpich,1,55.2000
1024,mpich,1,55.6700
2048,mpich,1,57.8900
4096,mpich,1,60.5800
8192,mpich,1,66.4200
16384,mpich,1,77.1000
32768,mpich,1,94.7600
65536,mpich,1,182.6200
131072,mpich,1,189.9100
262144,mpich,1,0.0000
524288,mpich,1,521.3300
1048576,mpich,1,809.7400
4,mpich,2,67.4000
8,mpich,2,59.4100
16,mpich,2,52.0200
32,mpich,2,55.7800
64,mpich,2,49.4900
128,mpich,2,48.4400
256,mpich,2,0.0000
512,mpich,2,51.5400
1024,mpich,2,0.0000
2048,mpich,2,54.1200
4096,mpich,2,57.0700
8192,mpich,2,62.7900
16384,mpich,2,74.0300
32768,mpich,2,88.2600
65536,mpich,2,132.2000
131072,mpich,2,196.5600
262144,mpich,2,319.8800
524288,mpich,2,544.7200
1048576,mpich,2,768.5600
4,mpich,3,61.6200
8,mpich,3,55.2700
16,mpich,3,0.0000
32,mpich,3,51.6200
64,mpich,3,49.8200
128,mpich,3,50.1500
256,mpich,3,53.9300
512,mpich,3,53.4400
1024,mpich,3,53.7000
2048,mpich,3,56.2100
4096,mpich,3,58.3600
8192,mpich,3,64.2800
16384,mpich,3,77.5400
32768,mpich,3,0.0000
65536,mpich,3,131.5400
131072,mpich,3,0.0000
262144,mpich,3,619.8400
524288,mpich,3,977.2300
1048576,mpich,3,0.0000
4,mpich,4,0.0000
8,mpich,4,59.8100
16,mpich,4,51.1300
32,mpich,4,51.7800
64,mpich,4,54.4800
128,mpich,4,56.2500
256,mpich,4,57.5200
512,mpich,4,59.0500
1024,mpich,4,59.2600
2048,mpich,4,60.8600
4096,mpich,4,0.0000
8192,mpich,4,67.9400
16384,mpich,4,80.8700
32768,mpich,4,99.2200
65536,mpich,4,0.0000
131072,mpich,4,333.8000
262144,mpich,4,490.7700
524288,mpich,4,910.0600
1048576,mpich,4,0.0000
4,mpich,5,68.1300
8,mpich,5,58.4300
16,mpich,5,47.6600
32,mpich,5,51.6100
64,mpich,5,0.0000
128,mpich,5,50.1600
256,mpich,5,49.1500
512,mpich,5,51.0600
1024,mpich,5,51.7600
2048,mpich,5,54.2400
4096,mpich,5,56.6400
8192,mpich,5,0.0000
16384,mpich,5,77.5500
32768,mpich,5,93.8400
65536,mpich,5,134.4000
131072,mpich,5,190.0200
262144,mpich,5,319.7500
524288,mpich,5,0.0000
1048576,mpich,5,942.8400
4,mpich,6,58.2500
8,mpich,6,0.0000
16,mpich,6,48.5900
32,mpich,6,52.6100
64,mpich,6,53.7900
128,mpich,6,53.5600
256,mpich,6,54.6700
512,mpich,6,56.2100
1024,mpich,6,55.4800
2048,mpich,6,58.2400
4096,mpich,6,59.8000
8192,mpich,6,65.2900
16384,mpich,6,75.8500
32768,mpich,6,91.2600
65536,mpich,6,185.4200
131072,mpich,6,349.0800
262144,mpich,6,583.5200
524288,mpich,6,651.1800
1048576,mpich,6,821.4300
4,mpich,7,69.6300
8,mpich,7,55.9600
16,mpich,7,49.9600
32,mpich,7,54.2400
64,mpich,7,54.0400
128,mpich,7,54.1500
256,mpich,7,55.5900
512,mpich,7,57.4900
1024,mpich,7,58.1700
2048,mpich,7,58.8200
4096,mpich,7,58.5700
8192,mpich,7,64.1000
16384,mpich,7,76.8500
32768,mpich,7,98.0100
65536,mpich,7,167.0400
131072,mpich,7,309.3900
262144,mpich,7,522.6800
524288,mpich,7,767.0800
1048576,mpich,7,838.4900
4,mpich,8,0.0000
8,mpich,8,58.5600
16,mpich,8,47.3500
32,mpich,8,54.6200
64,mpich,8,51.8800
128,mpich,8,0.0000
256,mpich,8,0.0000
512,mpich,8,55.2200
1024,mpich,8,55.6600
2048,mpich,8,57.9400
4096,mpich,8,59.7800
8192,mpich,8,0.0000
16384,mpich,8,79.7400
32768,mpich,8,0.0000
65536,mpich,8,196.2100
131072,mpich,8,297.7900
262144,mpich,8,508.1300
524288,mpich,8,785.5800
1048576,mpich,8,913.7000
4,mpich,9,59.4900
8,mpich,9,55.0100
16,mpich,9,51.2200
32,mpich,9,0.0000
64,mpich,9,56.7300
128,mpich,9,55.3700
