size,backend,trial,latency
4,mpi,1,0.3000
8,mpi,1,0.3100
16,mpi,1,0.3200
32,mpi,1,0.3200
64,mpi,1,0.3200
128,mpi,1,0.3300
256,mpi,1,0.3600
512,mpi,1,0.4700
1024,mpi,1,0.4500
2048,mpi,1,0.6300
4096,mpi,1,1.2300
8192,mpi,1,2.0800
16384,mpi,1,4.1600
32768,mpi,1,8.3100
65536,mpi,1,16.4200
131072,mpi,1,32.9100
262144,mpi,1,66.7000
524288,mpi,1,135.9800
1048576,mpi,1,274.0100
4,mpi,2,0.3200
8,mpi,2,0.3000
16,mpi,2,0.2900
32,mpi,2,0.2900
64,mpi,2,0.2900
128,mpi,2,0.3100
256,mpi,2,0.3400
512,mpi,2,0.3800
1024,mpi,2,0.4500
2048,mpi,2,0.6000
4096,mpi,2,1.1300
8192,mpi,2,2.0900
16384,mpi,2,4.1200
32768,mpi,2,8.1800
65536,mpi,2,16.2600
131072,mpi,2,32.5900
262144,mpi,2,66.8000
524288,mpi,2,133.4000
1048576,mpi,2,272.2700
4,mpi,3,0.3000
8,mpi,3,0.2900
16,mpi,3,0.3000
32,mpi,3,0.2900
64,mpi,3,0.3000
128,mpi,3,0.3100
256,mpi,3,0.3500
512,mpi,3,0.3900
1024,mpi,3,0.4500
2048,mpi,3,0.6100
4096,mpi,3,1.1200
8192,mpi,3,2.1000
16384,mpi,3,5.6400
32768,mpi,3,8.3200
65536,mpi,3,16.4600
131072,mpi,3,33.6900
262144,mpi,3,65.7600
524288,mpi,3,134.5700
1048576,mpi,3,273.6400
4,mpi,4,0.2900
8,mpi,4,0.2900
16,mpi,4,0.2900
32,mpi,4,0.2900
64,mpi,4,0.2900
128,mpi,4,0.3100
256,mpi,4,0.3300
512,mpi,4,0.3800
1024,mpi,4,0.4600
2048,mpi,4,0.6200
4096,mpi,4,1.1200
8192,mpi,4,2.1000
16384,mpi,4,4.1600
32768,mpi,4,8.2300
65536,mpi,4,16.3600
131072,mpi,4,34.4600
262144,mpi,4,65.8900
524288,mpi,4,135.5200
1048576,mpi,4,272.2700
4,mpi,5,0.2900
8,mpi,5,0.3000
16,mpi,5,0.2900
32,mpi,5,0.3000
64,mpi,5,0.4400
128,mpi,5,0.3200
256,mpi,5,0.3400
512,mpi,5,0.3900
1024,mpi,5,0.4700
2048,mpi,5,0.7200
4096,mpi,5,1.1600
8192,mpi,5,2.1200
16384,mpi,5,4.2300
32768,mpi,5,8.3200
65536,mpi,5,16.6000
131072,mpi,5,33.1100
262144,mpi,5,66.5100
524288,mpi,5,137.4900
1048576,mpi,5,274.2900
4,mpi,6,0.2900
8,mpi,6,0.3000
16,mpi,6,0.3000
32,mpi,6,0.3000
64,mpi,6,0.3100
128,mpi,6,0.3100
256,mpi,6,0.3400
512,mpi,6,0.3700
1024,mpi,6,0.4600
2048,mpi,6,0.6200
4096,mpi,6,1.1400
8192,mpi,6,2.1000
16384,mpi,6,4.1700
32768,mpi,6,8.2500
65536,mpi,6,16.8900
131072,mpi,6,32.8200
262144,mpi,6,65.6900
524288,mpi,6,134.9400
1048576,mpi,6,273.7200
4,mpi,7,0.2900
8,mpi,7,0.3000
16,mpi,7,0.3000
32,mpi,7,0.3000
64,mpi,7,0.3100
128,mpi,7,0.3100
256,mpi,7,0.3500
512,mpi,7,0.3900
1024,mpi,7,0.4500
2048,mpi,7,0.6300
4096,mpi,7,1.1400
8192,mpi,7,2.1100
16384,mpi,7,4.1600
32768,mpi,7,8.2400
65536,mpi,7,16.4400
131072,mpi,7,32.7400
262144,mpi,7,67.8400
524288,mpi,7,134.0000
1048576,mpi,7,273.1300
4,mpi,8,0.2900
8,mpi,8,0.3000
16,mpi,8,0.3000
32,mpi,8,0.3000
64,mpi,8,0.3000
128,mpi,8,0.3900
256,mpi,8,0.3500
512,mpi,8,0.4000
1024,mpi,8,0.4600
2048,mpi,8,0.6200
4096,mpi,8,1.1200
8192,mpi,8,2.0800
16384,mpi,8,4.1200
32768,mpi,8,8.1600
65536,mpi,8,16.2500
131072,mpi,8,32.4900
262144,mpi,8,66.3200
524288,mpi,8,133.1300
1048576,mpi,8,272.3300
4,mpi,9,0.2800
8,mpi,9,0.2900
16,mpi,9,0.2800
32,mpi,9,0.2900
64,mpi,9,0.3000
128,mpi,9,0.3100
256,mpi,9,0.3400
512,mpi,9,0.3700
1024,mpi,9,0.4400
2048,mpi,9,0.6000
4096,mpi,9,1.1800
8192,mpi,9,2.0500
16384,mpi,9,5.5600
32768,mpi,9,8.1200
65536,mpi,9,16.1600
131072,mpi,9,32.2700
262144,mpi,9,65.0500
524288,mpi,9,134.7200
1048576,mpi,9,270.3300
4,mpi,10,0.2900
8,mpi,10,0.3000
16,mpi,10,0.2900
32,mpi,10,0.3000
64,mpi,10,0.2900
128,mpi,10,0.3100
256,mpi,10,0.3400
512,mpi,10,0.3800
1024,mpi,10,0.4400
2048,mpi,10,0.6000
4096,mpi,10,1.1100
8192,mpi,10,2.0800
16384,mpi,10,4.1300
32768,mpi,10,8.2100
65536,mpi,10,16.2900
131072,mpi,10,33.8500
262144,mpi,10,65.3100
524288,mpi,10,133.3500
1048576,mpi,10,271.3900
4,rccl,1,26.9700
8,rccl,1,29.6800
16,rccl,1,28.8600
32,rccl,1,28.5500
64,rccl,1,27.5600
128,rccl,1,27.4200
256,rccl,1,27.4500
512,rccl,1,27.5000
1024,rccl,1,27.6500
2048,rccl,1,28.0300
4096,rccl,1,28.7600
8192,rccl,1,28.7600
16384,rccl,1,28.8300
32768,rccl,1,33.9000
65536,rccl,1,34.0900
131072,rccl,1,34.9000
262144,rccl,1,37.5600
