size,backend,trial,latency
4,mpich,1,52.0600
8,mpich,1,45.7400
16,mpich,1,46.4700
32,mpich,1,47.0200
64,mpich,1,46.4400
128,mpich,1,46.7000
256,mpich,1,46.8900
512,mpich,1,48.0800
1024,mpich,1,48.4200
2048,mpich,1,48.4800
4096,mpich,1,49.5900
8192,mpich,1,52.5600
16384,mpich,1,59.2300
32768,mpich,1,86.2500
65536,mpich,1,117.6200
131072,mpich,1,174.3500
262144,mpich,1,289.7100
524288,mpich,1,517.1300
1048576,mpich,1,925.9600
4,mpich,2,47.7600
8,mpich,2,49.9400
16,mpich,2,49.1500
32,mpich,2,47.4500
64,mpich,2,55.4700
128,mpich,2,51.4900
256,mpich,2,53.7400
512,mpich,2,51.4600
1024,mpich,2,51.7800
2048,mpich,2,53.4100
4096,mpich,2,51.9800
8192,mpich,2,54.1200
16384,mpich,2,60.0700
32768,mpich,2,80.5400
65536,mpich,2,102.0300
131072,mpich,2,133.6900
262144,mpich,2,196.1100
524288,mpich,2,324.5600
1048576,mpich,2,580.4700
4,mpich,3,48.5200
8,mpich,3,47.8200
16,mpich,3,49.1200
32,mpich,3,46.6900
64,mpich,3,48.8800
128,mpich,3,51.8500
256,mpich,3,51.4400
512,mpich,3,51.7100
1024,mpich,3,50.5900
2048,mpich,3,49.9100
4096,mpich,3,50.9200
8192,mpich,3,52.8000
16384,mpich,3,57.7900
32768,mpich,3,80.1000
65536,mpich,3,103.3800
131072,mpich,3,132.4600
262144,mpich,3,208.3600
524288,mpich,3,326.0600
1048576,mpich,3,557.0400
4,mpich,4,48.6600
8,mpich,4,47.5700
16,mpich,4,49.7400
32,mpich,4,48.7300
64,mpich,4,46.8600
128,mpich,4,49.5800
256,mpich,4,47.1200
512,mpich,4,54.0700
1024,mpich,4,50.2400
2048,mpich,4,50.4900
4096,mpich,4,49.7600
8192,mpich,4,52.2700
16384,mpich,4,58.9700
32768,mpich,4,82.4700
65536,mpich,4,119.7200
131072,mpich,4,176.5700
262144,mpich,4,297.8300
524288,mpich,4,527.5300
1048576,mpich,4,1022.3300
4,mpich,5,50.9000
8,mpich,5,49.2000
16,mpich,5,49.5700
32,mpich,5,48.8200
64,mpich,5,49.3300
128,mpich,5,48.4100
256,mpich,5,49.1000
512,mpich,5,49.6300
1024,mpich,5,52.7600
2048,mpich,5,51.2000
4096,mpich,5,50.7600
8192,mpich,5,53.0200
16384,mpich,5,59.9800
32768,mpich,5,84.3500
65536,mpich,5,115.8700
131072,mpich,5,150.4500
262144,mpich,5,237.7900
524288,mpich,5,419.4500
1048576,mpich,5,765.2800
4,mpich,6,44.5100
8,mpich,6,50.7700
16,mpich,6,52.0800
32,mpich,6,47.2900
64,mpich,6,47.5400
128,mpich,6,46.0300
256,mpich,6,46.7400
512,mpich,6,48.0700
1024,mpich,6,48.2100
2048,mpich,6,49.3300
4096,mpich,6,49.3600
8192,mpich,6,51.6900
16384,mpich,6,57.2800
32768,mpich,6,81.7300
65536,mpich,6,106.0500
