size,composition,trial,latency
# OSU MPI-ROCM Allreduce Latency Test v7.5,dc-none,1,
# Datatype: MPI_INT.,dc-none,1,
# Size       Avg Latency(us),dc-none,1,
4                      76.12,dc-none,1,
8                      64.98,dc-none,1,
16                     74.33,dc-none,1,
32                     86.25,dc-none,1,
64                     87.75,dc-none,1,
128                    93.18,dc-none,1,
256                    86.06,dc-none,1,
512                    89.18,dc-none,1,
1024                   89.61,dc-none,1,
2048                   93.22,dc-none,1,
4096                  104.68,dc-none,1,
8192                  107.20,dc-none,1,
16384                 111.09,dc-none,1,
32768                 123.80,dc-none,1,
65536                 187.26,dc-none,1,
131072                228.24,dc-none,1,
262144                312.91,dc-none,1,
524288                401.83,dc-none,1,
1048576               617.33,dc-none,1,
# OSU MPI-ROCM Allreduce Latency Test v7.5,dc-none,2,
# Datatype: MPI_INT.,dc-none,2,
# Size       Avg Latency(us),dc-none,2,
4                      79.12,dc-none,2,
8                      79.18,dc-none,2,
16                     87.41,dc-none,2,
32                     86.47,dc-none,2,
64                     84.02,dc-none,2,
128                    88.56,dc-none,2,
256                    87.68,dc-none,2,
512                    86.68,dc-none,2,
1024                   91.75,dc-none,2,
2048                   92.16,dc-none,2,
4096                  111.80,dc-none,2,
8192                  113.64,dc-none,2,
16384                 115.90,dc-none,2,
32768                 134.25,dc-none,2,
65536                 191.17,dc-none,2,
131072                253.60,dc-none,2,
262144                334.24,dc-none,2,
524288                450.17,dc-none,2,
1048576               638.34,dc-none,2,
# OSU MPI-ROCM Allreduce Latency Test v7.5,dc-none,3,
# Datatype: MPI_INT.,dc-none,3,
# Size       Avg Latency(us),dc-none,3,
4                      86.41,dc-none,3,
8                      85.93,dc-none,3,
16                     97.34,dc-none,3,
32                     94.99,dc-none,3,
64                     97.03,dc-none,3,
128                   101.08,dc-none,3,
256                    99.81,dc-none,3,
512                   101.15,dc-none,3,
1024                   98.96,dc-none,3,
2048                  107.91,dc-none,3,
4096                  123.56,dc-none,3,
8192                  128.19,dc-none,3,
16384                 133.23,dc-none,3,
32768                 152.43,dc-none,3,
65536                 195.91,dc-none,3,
131072                234.94,dc-none,3,
262144                329.36,dc-none,3,
524288                446.10,dc-none,3,
1048576               694.61,dc-none,3,
# OSU MPI-ROCM Allreduce Latency Test v7.5,dc-none,4,
# Datatype: MPI_INT.,dc-none,4,
# Size       Avg Latency(us),dc-none,4,
4                      87.79,dc-none,4,
