size,composition,trial,latency
4,dc-none,1,73.200000
8,dc-none,1,72.250000
16,dc-none,1,79.920000
32,dc-none,1,79.100000
64,dc-none,1,85.620000
128,dc-none,1,88.570000
256,dc-none,1,85.060000
512,dc-none,1,85.410000
1024,dc-none,1,86.060000
2048,dc-none,1,95.030000
4096,dc-none,1,109.930000
8192,dc-none,1,101.380000
16384,dc-none,1,106.460000
32768,dc-none,1,118.420000
65536,dc-none,1,172.500000
131072,dc-none,1,228.650000
262144,dc-none,1,323.830000
524288,dc-none,1,420.160000
1048576,dc-none,1,589.910000
4,dc-none,2,84.030000
8,dc-none,2,76.620000
16,dc-none,2,85.110000
32,dc-none,2,84.180000
64,dc-none,2,84.610000
128,dc-none,2,87.660000
256,dc-none,2,84.610000
512,dc-none,2,82.960000
1024,dc-none,2,87.980000
2048,dc-none,2,89.700000
4096,dc-none,2,112.640000
8192,dc-none,2,114.540000
16384,dc-none,2,110.460000
32768,dc-none,2,138.290000
65536,dc-none,2,186.880000
131072,dc-none,2,231.250000
262144,dc-none,2,312.210000
524288,dc-none,2,465.230000
1048576,dc-none,2,627.880000
4,dc-none,3,81.730000
8,dc-none,3,75.200000
16,dc-none,3,84.540000
32,dc-none,3,83.250000
64,dc-none,3,83.790000
128,dc-none,3,85.710000
256,dc-none,3,85.480000
512,dc-none,3,82.880000
1024,dc-none,3,85.450000
2048,dc-none,3,79.650000
4096,dc-none,3,101.020000
8192,dc-none,3,113.410000
16384,dc-none,3,111.480000
32768,dc-none,3,123.830000
65536,dc-none,3,182.170000
131072,dc-none,3,232.170000
262144,dc-none,3,322.330000
524288,dc-none,3,443.630000
1048576,dc-none,3,655.070000
4,dc-none,4,80.090000
8,dc-none,4,75.520000
16,dc-none,4,88.130000
32,dc-none,4,85.000000
64,dc-none,4,85.690000
128,dc-none,4,88.000000
256,dc-none,4,87.010000
512,dc-none,4,83.050000
1024,dc-none,4,80.390000
2048,dc-none,4,92.360000
4096,dc-none,4,112.810000
8192,dc-none,4,100.950000
16384,dc-none,4,102.820000
32768,dc-none,4,132.140000
65536,dc-none,4,183.170000
131072,dc-none,4,232.150000
262144,dc-none,4,291.250000
524288,dc-none,4,436.880000
1048576,dc-none,4,662.180000
4,dc-none,5,83.870000
8,dc-none,5,74.390000
16,dc-none,5,86.680000
32,dc-none,5,83.720000
64,dc-none,5,81.250000
128,dc-none,5,86.730000
256,dc-none,5,86.710000
512,dc-none,5,89.480000
1024,dc-none,5,89.660000
2048,dc-none,5,92.100000
4096,dc-none,5,112.520000
8192,dc-none,5,115.870000
16384,dc-none,5,120.460000
32768,dc-none,5,141.170000
65536,dc-none,5,194.310000
131072,dc-none,5,239.650000
262144,dc-none,5,333.300000
524288,dc-none,5,479.550000
1048576,dc-none,5,670.690000
4,dc-none,6,81.020000
8,dc-none,6,76.290000
16,dc-none,6,89.610000
32,dc-none,6,84.500000
64,dc-none,6,86.600000
128,dc-none,6,85.110000
256,dc-none,6,87.330000
512,dc-none,6,84.640000
1024,dc-none,6,87.310000
2048,dc-none,6,91.170000
4096,dc-none,6,102.490000
8192,dc-none,6,113.970000
16384,dc-none,6,122.470000
32768,dc-none,6,123.610000
65536,dc-none,6,182.350000
131072,dc-none,6,227.520000
262144,dc-none,6,308.260000
524288,dc-none,6,431.930000
1048576,dc-none,6,665.360000
4,dc-none,7,74.320000
8,dc-none,7,75.710000
16,dc-none,7,87.480000
32,dc-none,7,84.480000
64,dc-none,7,83.670000
128,dc-none,7,83.900000
256,dc-none,7,75.310000
512,dc-none,7,87.940000
1024,dc-none,7,86.050000
2048,dc-none,7,92.300000
4096,dc-none,7,111.010000
8192,dc-none,7,119.270000
16384,dc-none,7,114.940000
32768,dc-none,7,134.980000
65536,dc-none,7,185.460000
131072,dc-none,7,224.750000
262144,dc-none,7,286.270000
524288,dc-none,7,426.010000
1048576,dc-none,7,634.280000
4,dc-none,8,83.980000
8,dc-none,8,74.700000
16,dc-none,8,87.990000
32,dc-none,8,84.010000
64,dc-none,8,83.600000
128,dc-none,8,82.060000
256,dc-none,8,82.460000
512,dc-none,8,86.970000
1024,dc-none,8,82.520000
2048,dc-none,8,88.250000
4096,dc-none,8,105.500000
8192,dc-none,8,112.630000
16384,dc-none,8,114.150000
32768,dc-none,8,132.970000
65536,dc-none,8,185.740000
131072,dc-none,8,222.690000
262144,dc-none,8,336.090000
524288,dc-none,8,416.270000
1048576,dc-none,8,684.130000
4,dc-none,9,85.600000
8,dc-none,9,75.100000
16,dc-none,9,87.050000
32,dc-none,9,86.040000
64,dc-none,9,83.970000
128,dc-none,9,86.850000
256,dc-none,9,89.050000
512,dc-none,9,84.760000
1024,dc-none,9,90.400000
2048,dc-none,9,92.810000
4096,dc-none,9,110.900000
8192,dc-none,9,110.580000
16384,dc-none,9,113.180000
32768,dc-none,9,137.920000
65536,dc-none,9,185.390000
131072,dc-none,9,236.210000
262144,dc-none,9,325.880000
524288,dc-none,9,468.780000
1048576,dc-none,9,711.810000
4,dc-none,10,82.030000
8,dc-none,10,74.340000
16,dc-none,10,85.620000
32,dc-none,10,85.570000
64,dc-none,10,84.840000
128,dc-none,10,88.100000
256,dc-none,10,87.910000
512,dc-none,10,85.620000
1024,dc-none,10,90.340000
2048,dc-none,10,93.420000
4096,dc-none,10,113.590000
8192,dc-none,10,106.160000
16384,dc-none,10,108.770000
32768,dc-none,10,121.880000
65536,dc-none,10,175.330000
131072,dc-none,10,247.950000
262144,dc-none,10,336.810000
524288,dc-none,10,411.720000
1048576,dc-none,10,589.310000
4,alpha,1,52.640000
8,alpha,1,48.890000
16,alpha,1,47.570000
32,alpha,1,49.860000
64,alpha,1,45.140000
128,alpha,1,46.630000
256,alpha,1,50.060000
512,alpha,1,45.960000
1024,alpha,1,45.870000
2048,alpha,1,47.190000
4096,alpha,1,48.960000
8192,alpha,1,58.490000
16384,alpha,1,68.550000
32768,alpha,1,110.880000
65536,alpha,1,149.200000
131072,alpha,1,238.490000
262144,alpha,1,426.940000
524288,alpha,1,709.220000
1048576,alpha,1,1070.500000
4,alpha,2,53.440000
8,alpha,2,47.500000
16,alpha,2,48.680000
32,alpha,2,48.680000
64,alpha,2,49.190000
128,alpha,2,46.690000
256,alpha,2,51.790000
512,alpha,2,52.980000
1024,alpha,2,50.200000
2048,alpha,2,53.610000
4096,alpha,2,56.240000
8192,alpha,2,59.840000
16384,alpha,2,69.920000
32768,alpha,2,104.920000
65536,alpha,2,148.320000
131072,alpha,2,227.070000
262144,alpha,2,369.060000
524288,alpha,2,594.670000
1048576,alpha,2,944.470000
4,alpha,3,48.850000
8,alpha,3,52.060000
16,alpha,3,52.040000
32,alpha,3,51.660000
64,alpha,3,49.370000
128,alpha,3,50.650000
256,alpha,3,51.690000
512,alpha,3,50.200000
1024,alpha,3,53.720000
2048,alpha,3,53.800000
4096,alpha,3,56.660000
8192,alpha,3,59.930000
16384,alpha,3,70.430000
32768,alpha,3,96.050000
65536,alpha,3,138.650000
131072,alpha,3,204.070000
262144,alpha,3,355.100000
524288,alpha,3,619.860000
1048576,alpha,3,906.080000
4,alpha,4,50.190000
8,alpha,4,50.910000
16,alpha,4,46.320000
32,alpha,4,48.290000
64,alpha,4,45.140000
128,alpha,4,43.580000
256,alpha,4,47.610000
512,alpha,4,49.960000
1024,alpha,4,51.680000
2048,alpha,4,53.030000
4096,alpha,4,56.520000
8192,alpha,4,57.900000
16384,alpha,4,68.110000
32768,alpha,4,94.690000
65536,alpha,4,131.150000
131072,alpha,4,196.300000
262144,alpha,4,327.730000
524288,alpha,4,564.930000
1048576,alpha,4,810.430000
4,alpha,5,49.370000
8,alpha,5,50.880000
16,alpha,5,51.590000
32,alpha,5,48.500000
64,alpha,5,48.730000
128,alpha,5,49.290000
256,alpha,5,51.910000
512,alpha,5,52.110000
1024,alpha,5,52.260000
2048,alpha,5,54.770000
4096,alpha,5,55.830000
8192,alpha,5,62.000000
16384,alpha,5,68.820000
32768,alpha,5,106.040000
65536,alpha,5,149.860000
131072,alpha,5,240.940000
262144,alpha,5,438.930000
524288,alpha,5,613.780000
1048576,alpha,5,990.900000
4,alpha,6,47.550000
8,alpha,6,45.800000
16,alpha,6,51.470000
32,alpha,6,51.810000
64,alpha,6,49.400000
128,alpha,6,49.850000
256,alpha,6,51.520000
512,alpha,6,50.670000
1024,alpha,6,53.260000
2048,alpha,6,52.500000
4096,alpha,6,52.430000
8192,alpha,6,52.480000
16384,alpha,6,62.880000
32768,alpha,6,118.560000
65536,alpha,6,158.710000
131072,alpha,6,237.810000
262144,alpha,6,376.170000
524288,alpha,6,617.440000
1048576,alpha,6,996.100000
4,alpha,7,46.850000
8,alpha,7,50.720000
16,alpha,7,52.290000
32,alpha,7,52.780000
64,alpha,7,49.580000
128,alpha,7,49.680000
256,alpha,7,52.090000
512,alpha,7,53.760000
1024,alpha,7,50.310000
2048,alpha,7,53.400000
4096,alpha,7,55.480000
8192,alpha,7,61.650000
16384,alpha,7,72.820000
32768,alpha,7,97.870000
65536,alpha,7,149.900000
131072,alpha,7,212.610000
262144,alpha,7,372.740000
524288,alpha,7,610.610000
1048576,alpha,7,971.790000
4,alpha,8,45.900000
8,alpha,8,41.750000
16,alpha,8,49.930000
32,alpha,8,50.510000
64,alpha,8,51.330000
128,alpha,8,50.240000
256,alpha,8,51.670000
512,alpha,8,50.690000
1024,alpha,8,52.070000
2048,alpha,8,50.130000
4096,alpha,8,55.050000
8192,alpha,8,58.370000
16384,alpha,8,68.100000
32768,alpha,8,107.620000
65536,alpha,8,140.260000
131072,alpha,8,214.530000
262144,alpha,8,367.870000
524288,alpha,8,589.190000
1048576,alpha,8,850.290000
4,alpha,9,48.880000
8,alpha,9,45.740000
16,alpha,9,47.620000
32,alpha,9,47.480000
64,alpha,9,49.800000
128,alpha,9,48.250000
256,alpha,9,48.190000
512,alpha,9,49.440000
1024,alpha,9,47.340000
2048,alpha,9,45.250000
4096,alpha,9,55.790000
8192,alpha,9,55.980000
16384,alpha,9,65.340000
32768,alpha,9,126.670000
65536,alpha,9,192.490000
131072,alpha,9,319.040000
262144,alpha,9,539.480000
524288,alpha,9,691.640000
1048576,alpha,9,1073.250000
4,alpha,10,48.730000
8,alpha,10,45.760000
16,alpha,10,50.910000
32,alpha,10,50.620000
64,alpha,10,47.920000
128,alpha,10,50.190000
256,alpha,10,51.910000
512,alpha,10,50.200000
1024,alpha,10,52.130000
2048,alpha,10,52.670000
4096,alpha,10,57.070000
8192,alpha,10,52.900000
16384,alpha,10,64.350000
32768,alpha,10,94.110000
65536,alpha,10,138.560000
131072,alpha,10,225.590000
262144,alpha,10,387.680000
524288,alpha,10,670.720000
1048576,alpha,10,1074.890000
4,beta,1,46.740000
8,beta,1,41.820000
16,beta,1,52.620000
32,beta,1,49.290000
64,beta,1,48.930000
128,beta,1,50.030000
256,beta,1,51.110000
512,beta,1,51.890000
1024,beta,1,51.700000
2048,beta,1,54.010000
4096,beta,1,54.960000
8192,beta,1,58.380000
16384,beta,1,70.110000
32768,beta,1,96.000000
65536,beta,1,136.870000
131072,beta,1,213.430000
262144,beta,1,362.170000
524288,beta,1,605.650000
1048576,beta,1,1028.510000
4,beta,2,44.050000
8,beta,2,46.950000
16,beta,2,52.550000
