size,backend,trial,latency
4,mpich,1,55.6400
8,mpich,1,59.2400
16,mpich,1,58.8900
32,mpich,1,58.6400
64,mpich,1,58.8800
128,mpich,1,59.2600
256,mpich,1,60.9000
512,mpich,1,62.1500
1024,mpich,1,63.2900
2048,mpich,1,66.4100
4096,mpich,1,71.3000
8192,mpich,1,83.5300
16384,mpich,1,109.7400
32768,mpich,1,136.3900
65536,mpich,1,289.1300
131072,mpich,1,490.5900
262144,mpich,1,911.5200
524288,mpich,1,1459.6200
1048576,mpich,1,1578.5300
4,mpich,2,52.2500
8,mpich,2,51.7900
16,mpich,2,60.8100
32,mpich,2,59.6800
64,mpich,2,57.0800
128,mpich,2,57.7600
256,mpich,2,58.7500
512,mpich,2,60.3700
1024,mpich,2,61.3500
2048,mpich,2,62.0900
4096,mpich,2,62.6100
8192,mpich,2,70.7800
16384,mpich,2,86.5200
32768,mpich,2,151.6800
65536,mpich,2,216.6000
131072,mpich,2,393.3300
262144,mpich,2,622.9800
524288,mpich,2,690.1700
1048576,mpich,2,1322.9900
4,mpich,3,55.3200
8,mpich,3,54.9700
16,mpich,3,65.7000
32,mpich,3,63.8300
64,mpich,3,59.3100
128,mpich,3,59.5800
256,mpich,3,60.0500
512,mpich,3,60.5400
1024,mpich,3,59.4000
2048,mpich,3,62.7800
4096,mpich,3,67.9300
8192,mpich,3,82.2700
16384,mpich,3,106.3400
32768,mpich,3,172.7400
65536,mpich,3,294.6900
131072,mpich,3,213.2400
262144,mpich,3,415.2300
524288,mpich,3,737.2500
1048576,mpich,3,1388.2800
4,mpich,4,51.7000
8,mpich,4,52.1200
16,mpich,4,60.1400
32,mpich,4,57.2200
64,mpich,4,54.0400
128,mpich,4,54.5100
256,mpich,4,55.3200
512,mpich,4,57.1800
1024,mpich,4,57.9300
2048,mpich,4,58.5600
4096,mpich,4,61.8000
8192,mpich,4,72.1200
16384,mpich,4,91.8600
32768,mpich,4,158.0600
65536,mpich,4,213.9500
131072,mpich,4,401.7800
262144,mpich,4,761.7100
524288,mpich,4,1095.6000
1048576,mpich,4,1288.9700
4,mpich,5,52.1200
8,mpich,5,52.6300
16,mpich,5,62.6300
32,mpich,5,60.7900
64,mpich,5,57.8400
128,mpich,5,58.0600
256,mpich,5,59.5100
512,mpich,5,62.4100
1024,mpich,5,63.0000
2048,mpich,5,64.0000
4096,mpich,5,67.7800
8192,mpich,5,79.2100
16384,mpich,5,116.5600
32768,mpich,5,160.3000
65536,mpich,5,290.8900
131072,mpich,5,287.2300
262144,mpich,5,427.6900
524288,mpich,5,783.4900
1048576,mpich,5,1471.9900
4,mpich,6,50.0700
8,mpich,6,50.3700
16,mpich,6,62.5900
32,mpich,6,61.2200
64,mpich,6,58.7100
128,mpich,6,59.2700
256,mpich,6,59.8800
512,mpich,6,62.0800
1024,mpich,6,62.5400
2048,mpich,6,64.3100
4096,mpich,6,63.0900
8192,mpich,6,71.0200
16384,mpich,6,93.2600
32768,mpich,6,157.0200
65536,mpich,6,269.7300
131072,mpich,6,241.0600
262144,mpich,6,415.5500
524288,mpich,6,791.2800
1048576,mpich,6,1495.0800
4,mpich,7,58.9200
8,mpich,7,59.3700
16,mpich,7,69.6400
32,mpich,7,70.7000
64,mpich,7,68.5500
128,mpich,7,69.8800
